city,avg_comp,num_jobs,latitude,longitude
Seattle,252837.1229,8701,47.6032,-122.3303
San Francisco,285613.4324,6797,37.7749,-122.4194
New York,229852.3126,4562,40.7130,-74.0072
Redmond,225143.7712,2649,47.6749,-122.1240
Mountain View,297155.6044,2275,37.3901,-122.0814
Sunnyvale,275128.3363,2248,37.3711,-122.0375
San Jose,238855.3981,2047,37.3333,-121.9000
Austin,179510.8055,1527,30.2650,-97.7466
Menlo Park,365924.6528,1440,37.4528,-122.1833
Cupertino,287428.7212,1431,37.3175,-122.0419
Santa Clara,237529.6823,1196,37.3544,-121.9692
Boston,198809.2437,1190,42.3581,-71.0636
Palo Alto,254612.5654,1146,37.4292,-122.1381
San Diego,191034.565,839,32.7150,-117.1625
Chicago,171433.0025,806,41.8832,-87.6324
Bellevue,229244.2334,737,47.6137,-122.1909
Los Angeles,234563.0252,714,34.0522,-118.2433
"Washington, D.C.",172520.2703,592,38.9072,-77.0369
Atlanta,158687.9699,532,33.7485,-84.3915
Dallas,155148.5356,478,32.7758,-96.7967
Redwood City,231823.5294,459,37.4828,-122.2361
Portland,198649.4253,348,45.5200,-122.6819
Denver,181914.7541,305,39.7392,-104.9903
Irvine,196108.5271,258,33.6694,-117.8231
Cambridge,214914.6341,246,42.3652,-71.1050
Pleasanton,204279.1667,240,37.6625,-121.8747
Arlington,170721.519,237,32.7357,-97.1081
Houston,152245.6897,232,29.7628,-95.3831
Los Gatos,479185.8407,226,37.2361,-121.9617
Hillsboro,170683.0357,224,45.5228,-122.9897
Minneapolis,150892.5234,214,44.9833,-93.2667
Plano,126824.6445,211,33.0197,-96.6992
Raleigh,167538.0952,210,35.7806,-78.6389
Pittsburgh,195288.6598,194,40.4422,-79.9950
Boulder,225357.513,193,40.0176,-105.2797
Philadelphia,161398.9637,193,39.9500,-75.1667
Jersey City,169476.7442,172,40.7140,-74.0710
San Mateo,289982.4561,171,37.5472,-122.3144
Kirkland,292408.284,169,47.6755,-122.2034
Phoenix,146018.8679,159,33.4500,-112.0667
Herndon,200292.9936,157,38.9697,-77.3839
Charlotte,143916.6667,156,35.2238,-80.8411
Santa Monica,262395.3488,129,34.0219,-118.4814
Foster City,183635.6589,129,37.5619,-122.2664
Richmond,145226.5625,128,37.5408,-77.4339
San Bruno,272653.2258,124,37.6253,-122.4253
Folsom,164586.2069,116,38.6722,-121.1578
Reston,188460.177,113,38.9544,-77.3464
Fremont,177281.8182,110,37.5483,-121.9886
Salt Lake City,162584.1584,101,40.7500,-111.8833
Columbus,127920,100,39.9833,-82.9833
Kansas City,96240,100,39.0997,-94.5783
Milpitas,208677.0833,96,37.4308,-121.8975
Detroit,155138.2979,94,42.3329,-83.0478
Madison,139206.8966,87,43.0670,-89.4000
Bentonville,147409.6386,83,36.3667,-94.2133
Tempe,161974.6835,79,33.4294,-111.9431
San Antonio,125181.8182,77,29.4167,-98.5000
Durham,158986.8421,76,35.9886,-78.9072
Chandler,144146.6667,75,33.3023,-111.8401
Vienna,157720,75,38.9035,-77.2628
Nashville,145969.697,66,36.1667,-86.7833
Oakland,240723.0769,65,37.8048,-122.2725
St. Louis,143261.5385,65,38.627,-90.1994
Indianapolis,151796.875,64,39.7910,-86.1480
Orlando,132843.75,64,28.5383,-81.3789
Fairfax,139533.3333,60,38.8462,-77.3064
Newark,193186.4407,59,40.7242,-74.1726
Tampa,128322.0339,59,27.9474,-82.4588
Cincinnati,127982.4561,57,39.1037,-84.5136
Fort Lauderdale,157017.5439,57,26.1242,-80.1436
San Ramon,177963.6364,55,37.7800,-121.9781
Natick,143528.3019,53,42.2838,-71.3473
Lehi,169607.8431,51,40.3879,-111.8492
McLean,145660,50,38.9283,-77.1753
Wilmington,124714.2857,49,39.7458,-75.5467
Brooklyn,198255.3191,47,40.6925,-73.9910
Beaverton,177913.0435,46,45.4869,-122.8036
Waltham,145217.3913,46,42.3806,-71.2350
Boise,152906.9767,43,43.6158,-116.2016
Baltimore,160309.5238,42,39.2833,-76.6167
Burlington,178102.5641,39,42.5047,-71.1961
Irving,113756.7568,37,32.8117,-96.9508
Scottsdale,159027.027,37,33.5000,-111.9333
Santa Barbara,170735.2941,34,34.4209,-119.6983
Dearborn,111676.4706,34,42.3221,-83.1759
Miami,193090.9091,33,25.7751,-80.1947
Hoboken,257875,32,40.7500,-74.0300
Verona,139375,32,42.9865,-89.5786
Ann Arbor,143172.4138,29,42.2814,-83.7483
Round Rock,185107.1429,28,30.5088,-97.6800
Provo,155814.8148,27,40.2351,-111.6622
Malvern,108518.5185,27,40.0334,-75.5127
El Segundo,99740.74074,27,33.9209,-118.4159
Cary,129692.3077,26,35.7789,-78.8003
Poughkeepsie,119560,25,41.6711,-73.9069
South San Francisco,244240,25,37.6561,-122.4256
Richardson,112560,25,32.9608,-96.7335
Sacramento,140125,24,38.5556,-121.4689
Milwaukee,126875,24,43.0500,-87.9500
Morrisville,180916.6667,24,35.8196,-78.8230
Whippany,145750,24,40.8244,-74.4172
Hopkinton,150826.087,23,42.2293,-71.5189
Hartford,121863.6364,22,41.7658,-72.6734
Fort Worth,97954.54545,22,32.7499,-97.3303
Omaha,121857.1429,21,41.2500,-96.0000
Kent,111714.2857,21,47.3828,-122.2269
Broomfield,169600,20,39.9205,-105.0867
Basking Ridge,146650,20,40.7062,-74.5493
Culver City,237052.6316,19,34.0078,-118.4008
Colorado Springs,142210.5263,19,38.8352,-104.8198
Berkeley,232684.2105,19,37.8691,-122.2705
Alpharetta,125578.9474,19,34.0733,-84.2811
Bothell,144111.1111,18,47.7601,-122.2054
Cleveland,140222.2222,18,41.4822,-81.6697
Norwalk,115277.7778,18,41.0939,-73.4197
Warren,99500,18,42.5214,-83.0202
Issaquah,158000,17,47.5356,-122.0433
Frisco,149941.1765,17,33.1414,-96.8131
Tucson,108647.0588,17,32.2217,-110.9264
Everett,109941.1765,17,47.9791,-122.1959
Redlands,132937.5,16,34.0547,-117.1825
Needham,231750,16,42.2833,-71.2333
Boxborough,167062.5,16,42.4833,-71.5167
Newark,189062.5,16,37.5408,-122.0334
Bloomington,93000,16,40.4842,-88.9936
Roseland,120200,15,40.8199,-74.3102
Grand Rapids,134800,15,42.9655,-85.6702
Pasadena,121666.6667,15,34.1561,-118.1319
Princeton,190400,15,40.3520,-74.6607
Burbank,156800,15,34.1821,-118.3075
Las Vegas,124466.6667,15,36.1691,-115.1406
Holmdel,114533.3333,15,40.3750,-74.1738
Emeryville,222214.2857,14,37.8314,-122.2853
Littleton,137428.5714,14,42.5375,-71.5125
California City,243000,14,35.1258,-117.9858
Fort Collins,137142.8571,14,40.5592,-105.0781
Rochester,110285.7143,14,44.0234,-92.4630
Olathe,92357.14286,14,38.8835,-94.8182
Oklahoma City,92857.14286,14,35.4822,-97.5350
Bedford,134846.1538,13,42.4906,-71.2767
Newtown Square,139538.4615,13,39.9868,-75.3991
Hudson,157307.6923,13,42.3912,-71.5681
Des Moines,125461.5385,13,41.5908,-93.6208
Manhattan Beach,153461.5385,13,33.8851,-118.4097
Hawthorne,179000,13,33.9172,-118.3486
Louisville,124846.1538,13,38.2500,-85.7667
New Orleans,177083.3333,12,29.9518,-90.0746
Stamford,144250,12,41.0519,-73.5395
Huntsville,105750,12,34.7295,-86.5853
Carlsbad,180250,12,33.1219,-117.2969
Norfolk,146166.6667,12,36.8508,-76.2859
Columbus,97666.66667,12,39.2140,-85.9111
Charleston,106636.3636,11,32.7831,-79.9344
Santa Rosa,139090.9091,11,38.4486,-122.7047
Nashua,149545.4545,11,42.7575,-71.4644
Jacksonville,142181.8182,11,30.3369,-81.6614
Texas City,183181.8182,11,29.3840,-94.9025
Chantilly,137200,10,38.8750,-77.4025
Dulles,133200,10,38.9517,-77.4481
Sterling,109000,10,39.0061,-77.4286
Glendale,137300,10,34.1481,-118.2464
Santa Cruz,259000,10,36.9721,-122.0263
Draper,144800,10,40.5250,-111.8642
Columbia,135800,10,39.2175,-76.8687
Framingham,148300,10,42.2792,-71.4167
Saint Paul,134100,10,44.9437,-93.0943
Ashburn,183400,10,39.0436,-77.4875
Birmingham,143200,10,33.5250,-86.8130
Venice,322555.5556,9,33.9931,-118.4562
Redondo Beach,102222.2222,9,33.8564,-118.3769
Albuquerque,142444.4444,9,35.1107,-106.6100
Cedar Rapids,107444.4444,9,41.9831,-91.6686
Watertown,148333.3333,9,42.3674,-71.1875
Armonk,170000,9,41.1286,-73.7078
North Reading,177444.4444,9,42.5740,-71.0793
Weston,108444.4444,9,26.1075,-80.3881
Westford,132666.6667,9,42.5811,-71.4396
Naperville,121444.4444,9,41.7481,-88.1656
Melbourne,107444.4444,9,28.0799,-80.6035
Rochester,137222.2222,9,43.1656,-77.6114
Costa Mesa,133625,8,33.6639,-117.9048
Eden Prairie,142125,8,44.8540,-93.4602
Yorktown Heights,177625,8,41.2772,-73.7814
Middletown,146625,8,40.3941,-74.1172
Vancouver,146875,8,45.6333,-122.6000
Kansas City,140000,8,39.1067,-94.6764
Campbell,220375,8,37.2877,-121.9424
South Jordan,120125,8,40.5617,-111.9608
Baton Rouge,74125,8,30.4495,-91.0934
Marlborough,96375,8,42.3458,-71.5528
Florham Park,196750,8,40.7758,-74.3941
Ireland,91000,8,38.3796,-87.0159
Champaign,147142.8571,7,40.1163,-88.2435
Manhattan,148571.4286,7,40.7903,-73.9597
Mount Laurel,124714.2857,7,39.9490,-74.9002
Bristol,152857.1429,7,41.6811,-72.9406
Bridgewater,144000,7,40.5931,-74.6047
Lake Forest,129142.8571,7,33.6417,-117.6908
Newark,105142.8571,7,39.6792,-75.7581
American Fork,135714.2857,7,40.3768,-111.7959
Englewood,94285.71429,7,40.8912,-73.9725
Lake Mary,95285.71429,7,28.7575,-81.3292
Greenwich,232000,7,41.0389,-73.6136
Lafayette,108857.1429,7,30.2213,-92.0188
Annapolis Junction,176285.7143,7,39.1218,-76.7843
Carpinteria,122142.8571,7,34.3989,-119.5184
Bethesda,120714.2857,7,38.9847,-77.1131
Belmont,215571.4286,7,37.5085,-122.2920
Aliso Viejo,139666.6667,6,33.5750,-117.7256
Los Altos,436000,6,37.3681,-122.0975
Manchester,134833.3333,6,42.9909,-71.4631
Fort Mill,145166.6667,6,35.0076,-80.9443
Milford,115333.3333,6,42.5936,-83.5994
Mill Valley,227333.3333,6,37.9067,-122.5475
Falls Church,118666.6667,6,38.8823,-77.1711
Morgantown,113333.3333,6,39.6298,-79.9559
Illinois City,178500,6,41.3967,-90.8956
Providence,115000,6,41.8245,-71.4127
San Carlos,261166.6667,6,37.5037,-122.2649
Roseville,155833.3333,6,38.7525,-121.2894
Ontario,153500,6,34.0634,-117.6524
Saint Paul,115833.3333,6,44.9437,-93.0943
West Chester,80500,6,39.9586,-75.6050
Newport Beach,118500,6,33.6167,-117.8975
O'Fallon,134166.6667,6,38.7844,-90.7081
Wichita,124833.3333,6,37.6889,-97.3361
Schaumburg,77166.66667,6,42.0303,-88.0839
Manassas,137666.6667,6,38.7507,-77.4751
Palmdale,116500,6,34.5811,-118.1006
Overland Park,107333.3333,6,38.9822,-94.6708
Troy,97666.66667,6,42.5803,-83.1431
Gaithersburg,146000,6,39.1319,-77.2264
Oregon City,111000,5,45.3572,-122.6072
Woonsocket,127600,5,42.0083,-71.5161
Burlington,106200,5,44.4758,-73.2119
Longmont,155000,5,40.1717,-105.1092
Walnut Creek,191800,5,37.9064,-122.0650
Arlington,141400,5,32.7356,-97.1071
Littleton,103200,5,39.5997,-105.0108
Sparks,181000,5,39.5544,-119.7356
Stratford,134200,5,41.2009,-73.1313
Hollywood,288200,5,34.1000,-118.3333
Marietta,92800,5,33.9523,-84.5491
Raritan,168400,5,40.5679,-74.6327
Goleta,141400,5,34.4406,-119.8136
Skillman,215000,5,40.4282,-74.7123
Memphis,93600,5,35.1174,-89.9711
Dublin,162000,5,37.7022,-121.9358
Brazil,92000,5,39.5250,-87.1275
Sunrise,102800,5,26.1692,-80.2937
Aurora,86800,5,39.6958,-104.8081
Florida,112400,5,41.3320,-74.3568
Murray,139400,5,40.6525,-111.8933
Edison,114400,5,40.5040,-74.3494
Arizona City,122600,5,32.7549,-111.6711
Spring,124600,5,30.0542,-95.3869
Northridge,89800,5,34.2283,-118.5358
Wilton,114600,5,41.1944,-73.4324
Columbia,111000,5,38.9516,-92.3286
Thousand Oaks,159600,5,34.1894,-118.8750
Merrimack,97000,5,42.8664,-71.4936
Northbrook,120800,5,42.1292,-87.8408
Albany,134000,4,42.6525,-73.7572
Harrisburg,92250,4,40.2697,-76.8756
Renton,143000,4,47.4867,-122.1953
Bloomington,174250,4,44.8336,-93.3100
Snoqualmie,110250,4,47.5272,-121.8242
Duluth,188750,4,34.0031,-84.1456
Canonsburg,135500,4,40.2627,-80.1877
Lexington,131250,4,38.0297,-84.4947
Brooklyn Park,157750,4,45.0942,-93.3561
Reno,112000,4,39.5272,-119.8219
Ridgefield Park,174000,4,40.8547,-74.0199
Fulton,176750,4,39.1511,-76.9228
Roseville,98750,4,45.0061,-93.1567
Holtsville,92250,4,40.8133,-73.0472
Alexandria,141250,4,38.8048,-77.0469
Tulsa,171500,4,36.1314,-95.9372
Meriden,101500,4,41.5367,-72.7947
Chicago Heights,118750,4,41.5119,-87.6403
Miami Beach,181250,4,25.8130,-80.1341
Louisville,322250,4,38.2500,-85.7667
Greenwood Village,188000,4,39.6169,-104.9505
Southlake,75000,4,32.9467,-97.1453
Boca Raton,128750,4,26.3686,-80.1000
Pennington,117250,4,40.3281,-74.7910
Eagan,151000,4,44.8178,-93.1669
Helena,176750,4,46.5958,-112.0270
Teaneck,104750,4,40.8903,-74.0115
Westport,206250,4,41.1233,-73.3469
Owings Mills,120000,4,39.4122,-76.7931
Gilbert,254500,4,33.3500,-111.7892
Silver Spring,125666.6667,3,38.9977,-77.0270
Windsor,87333.33333,3,41.8528,-72.6431
Piscataway,148000,3,40.5757,-74.4544
Portsmouth,89333.33333,3,41.6023,-71.2478
Tewksbury,120000,3,42.6106,-71.2347
Dover,139333.3333,3,43.1947,-70.8750
Bend,153000,3,44.0500,-121.3000
Goshen,186666.6667,3,41.5812,-85.8344
Exton,123333.3333,3,40.0330,-75.6315
Montvale,96666.66667,3,41.0401,-74.0327
Mechanicsburg,69666.66667,3,40.2133,-77.0080
Corvallis,91666.66667,3,44.5667,-123.2833
Wilmington,113666.6667,3,42.5500,-71.1667
Charlottesville,122333.3333,3,38.0293,-78.4767
Moorestown,85000,3,39.9771,-74.9450
Bala Cynwyd,155333.3333,3,40.0093,-75.2309
Newton,179666.6667,3,42.3369,-71.2097
Buffalo,123000,3,42.8877,-78.8794
Virginia Beach,145000,3,36.8516,-75.9792
Daly City,131666.6667,3,37.7058,-122.4608
Secaucus,151333.3333,3,40.7820,-74.0676
London Mills,146666.6667,3,40.7117,-90.2675
Montreal,100666.6667,3,37.9689,-92.5925
Wayne,96333.33333,3,40.9459,-74.2451
Ogden,73666.66667,3,41.2228,-111.9704
Gainesville,137666.6667,3,29.6520,-82.3250
Seal Beach,121333.3333,3,33.7414,-118.1048
Purchase,114000,3,41.0337,-73.7135
Lansing,107333.3333,3,42.7336,-84.5539
Ames,150000,3,42.0268,-93.6202
Virgilina,133333.3333,3,36.5439,-78.7768
Johnston,110333.3333,3,41.8167,-71.4833
Minnesota City,86666.66667,3,44.0939,-91.7497
Rolling Meadows,94333.33333,3,42.0761,-88.0258
Alameda,232666.6667,3,37.7561,-122.2744
New Brunswick,185333.3333,3,40.4867,-74.4444
Mason,78000,3,39.3581,-84.3119
Elkridge,181666.6667,3,39.2158,-76.7092
